years,TMAX,TMIN,t90,t95,t100
1947,51.32835820895522,41.10447761194029,0,0,0
1948,60.49166666666664,43.91489071038251,9,0,0
1949,61.991917808219206,43.062328767123304,7,0,0
1950,61.180136986301314,43.35260273972603,12,1,0
1951,62.83821917808219,43.961780821917806,9,2,0
1952,63.234972677595636,43.7650273224044,13,5,0
1953,62.763013698630175,45.91424657534247,5,1,0
1954,60.96972602739729,43.83945205479453,0,0,0
1955,59.61456621004566,42.8613698630137,5,2,0
1956,61.47786885245902,43.56243169398909,8,3,1
1957,62.18196347031964,44.20155251141552,4,0,0
1958,65.7527397260274,46.86246575342464,20,5,1
1959,61.99493150684927,44.781506849315036,7,2,0
1960,61.73975409836063,43.74808743169399,12,2,0
1961,63.609726027397286,45.256712328767115,13,6,2
1962,62.33575342465749,44.37315068493148,6,0,0
1963,61.82803652968037,44.184018264840184,3,0,0
1964,60.730132708821195,42.37050481394744,1,0,0
1965,63.76122635355514,44.19292889758642,7,3,1
1966,63.61936073059359,44.03903457273319,2,0,0
1967,64.91896934116116,44.27649054142203,23,8,0
1968,62.53306010928962,43.942557897475915,7,0,0
1969,62.24447488584476,43.5433789954338,2,0,0
1970,63.312602739726,43.10776255707762,13,2,0
1971,61.438577951728696,43.117625570776234,11,4,0
1972,62.63265677855838,43.208105646630244,17,3,1
1973,62.7624918460535,43.4715198956295,8,1,0
1974,63.04983692106977,43.402478799739065,15,0,0
1975,61.5174168297456,43.050619699934764,3,0,0
1976,61.952836325787125,42.619958365860015,1,0,0
1977,62.51479452054789,42.84904109589042,15,7,4
1978,62.2818917155903,43.37144161774302,12,4,2
1979,63.121565557729895,43.57469015003261,8,3,1
1980,62.199128285193886,43.20604996096801,4,1,0
1981,63.8318721461187,44.04470971950424,16,7,5
1982,62.08771037181999,42.88613176777559,7,2,0
1983,62.33843444227003,44.54130463144158,2,2,0
1984,61.79639604475673,43.51009627894872,4,0,0
1985,61.22119373776909,41.00321591650357,11,3,0
1986,63.679543378995454,44.58100456621004,13,3,0
1987,65.10776255707758,44.35321591650359,19,3,0
1988,63.41803278688526,43.73661202185794,14,7,1
1989,62.57188519243315,43.51559034572734,4,0,0
1990,63.37690802348337,44.59973907371169,15,5,0
1991,63.40322243966075,44.19355512067842,9,1,0
1992,65.96787665886023,45.64212854540723,18,8,1
1993,62.19112850619697,43.66076973255054,7,2,0
1994,64.000782778865,44.595225048923695,6,4,1
1995,64.25324200913244,45.97201565557729,7,3,0
1996,62.817360568999895,44.17181347037904,16,5,0
1997,63.658916068710624,45.23438247445096,7,0,0
1998,63.57889096443892,45.7756205894562,16,4,1
1999,62.88770374982704,44.73383354088835,6,0,0
2000,62.456593944913635,44.15586465750402,5,1,0
2001,63.148548498685464,44.0215303722153,5,1,0
2002,63.71634080531338,44.29279922512801,11,4,1
2003,64.55547391725474,45.61989968174899,20,4,0
2004,64.06521706132364,45.86938441794997,9,4,1
2005,63.49253948486824,44.18452469904525,12,1,0
2006,63.85130206171302,44.050737512107325,15,6,3
2007,62.52818221352466,43.58465970863229,8,2,0
2008,61.966237314598004,43.853451079885524,13,4,1
2009,63.191257882148314,44.13370950206564,17,5,3
2010,62.47962818003915,45.61371385083716,12,5,0
2011,60.685817074858214,44.27841704718418,6,0,0
2012,62.65276732981645,45.21980815177539,8,3,0
2013,62.37559429915594,44.74757160647575,5,0,0
2014,64.37885429638857,46.593872976338695,12,1,0
2015,66.17795765877952,46.662391033623955,19,7,2
2016,64.21073025335325,46.84143070044707,13,6,0
2017,63.09337484433377,45.087721046077185,18,6,2
2018,64.80789539227894,46.07863013698631,25,5,0
